UZIVATEL      POCET PRIHLASENI
patrotom           64

vopattom          335
peckato1           58
gdulatom           58
kuchato1           53
bohusto1           44
detkotom           36
cejkato2           34
chvostom           31
marystom           27
polacto2           24
vargato1           21
benesto3           19
svobot19           16
vahalto1           14
trejdtom           14
moravt11           14
janecto7           12
cicvatom           11
banhetom           10
psenito1            9
halamto1            9
staneto7            7
stefato1            6
radatom5            6
racintom            6
kadantom            6
fejtetom            6
dolezto3            6
vosictom            4
vitutom1            4
simactom            4
martit12            4
vlktoma5            3
staryto5            2
lenoctom            2
kupcetom            2
kalvotom            2
jakltom1            2
jachytom            2
hojektom            2
hlavotom            2
gregetom            2
bydzoto1            2
bubentom            2
